nama_kabupaten,latitude,longitude,year,month,temperature_2m_max_monthly_mean,temperature_2m_min_monthly_mean,temperature_2m_mean_monthly_mean,precipitation_sum_monthly_sum,rain_sum_monthly_sum,precipitation_hours_monthly_sum,windspeed_10m_max_monthly_mean,shortwave_radiation_sum_monthly_sum,et0_fao_evapotranspiration_monthly_mean,relative_humidity_2m_max_monthly_mean,relative_humidity_2m_min_monthly_mean,temp_range_monthly_mean,humidity_mean_monthly_mean,drought_index_monthly_mean
Kab. Pangandaran,-7.68,108.65,2020,8,28.322580645161292,23.361290322580647,25.58709677419355,25.6,25.6,127.0,14.083870967741936,486.90999999999997,3.165161290322581,93.09677419354838,72.64516129032258,4.961290322580645,82.87096774193549,0.2959315939042285
Kab. Pangandaran,-7.68,108.65,2020,9,28.459999999999997,23.75,25.69,104.5,104.5,286.0,15.153333333333334,543.39,3.519,93.13333333333334,74.2,4.709999999999999,83.66666666666667,1.097625446691668
Kab. Pangandaran,-7.68,108.65,2020,10,28.758064516129032,24.25483870967742,26.067741935483873,328.8,328.8,518.0,12.69032258064516,500.99,3.208064516129032,94.38709677419355,77.3225806451613,4.503225806451613,85.85483870967742,3.5615265636978237
Kab. Pangandaran,-7.68,108.65,2020,11,30.17,25.0,27.03666666666667,236.4,236.4,403.0,11.333333333333334,508.46,3.4893333333333336,93.1,74.3,5.17,83.7,2.610045228341915
Kab. Pangandaran,-7.68,108.65,2020,12,30.05806451612903,24.903225806451612,26.77741935483871,415.6,415.6,488.0,10.683870967741935,416.4,2.8474193548387094,92.54838709677419,73.41935483870968,5.15483870967742,82.98387096774194,6.152836439036431
Kab. Pangandaran,-7.68,108.65,2021,1,30.09032258064516,24.906451612903226,26.874193548387098,395.5,395.5,458.0,9.05483870967742,421.19,2.9119354838709675,92.87096774193549,72.93548387096774,5.183870967741935,82.90322580645162,5.154715612661909
Kab. Pangandaran,-7.68,108.65,2021,2,30.349999999999998,24.803571428571427,27.028571428571432,239.3,239.3,318.0,10.157142857142857,464.53,3.476785714285714,93.71428571428571,71.78571428571429,5.546428571428572,82.75,2.735639013288174
Kab. Pangandaran,-7.68,108.65,2021,3,30.687096774193545,24.97741935483871,27.296774193548387,209.4,209.4,288.0,9.170967741935485,547.09,3.69258064516129,92.2258064516129,70.09677419354838,5.709677419354839,81.16129032258064,2.4374803834016108
Kab. Pangandaran,-7.68,108.65,2021,4,31.009999999999998,24.80666666666667,27.433333333333334,136.6,136.6,192.0,9.83,563.3,3.8853333333333335,92.7,68.6,6.203333333333333,80.65,1.3536688171156273
Kab. Pangandaran,-7.68,108.65,2021,5,30.261290322580646,24.993548387096773,27.35483870967742,85.7,85.7,165.0,10.435483870967742,521.65,3.466774193548387,92.45161290322581,72.3225806451613,5.267741935483871,82.38709677419355,1.2343440157704375
Kab. Pangandaran,-7.68,108.65,2021,6,30.116666666666667,24.626666666666665,26.913333333333334,177.8,177.8,255.0,8.83,457.0,3.1109999999999998,93.93333333333334,73.8,5.489999999999999,83.86666666666666,2.3574121668491794
Kab. Pangandaran,-7.68,108.65,2021,7,29.0,23.596774193548388,26.041935483870965,68.2,68.2,169.0,12.932258064516128,515.94,3.303225806451613,93.0,73.83870967741936,5.403225806451613,83.41935483870968,0.7078546046239209
Kab. Pangandaran,-7.68,108.65,2021,8,28.05806451612903,23.596774193548388,25.496774193548386,82.4,82.4,299.0,14.996774193548388,511.4,3.1838709677419357,94.45161290322581,77.7741935483871,4.461290322580646,86.11290322580645,0.9641996678992265
Kab. Pangandaran,-7.68,108.65,2021,9,28.496666666666666,23.813333333333333,25.746666666666666,201.4,201.4,352.0,13.706666666666667,498.2,3.2606666666666664,93.96666666666667,75.9,4.683333333333334,84.93333333333334,2.313500401952093
Kab. Pangandaran,-7.68,108.65,2021,10,28.76774193548387,24.36774193548387,26.161290322580644,166.2,166.2,329.0,13.048387096774194,525.43,3.3558064516129034,92.93548387096774,76.7741935483871,4.4,84.85483870967742,1.9883352741915825
Kab. Pangandaran,-7.68,108.65,2021,11,29.953333333333333,24.790000000000003,26.836666666666666,751.8,751.8,470.0,9.51,420.42,2.973666666666667,93.23333333333333,73.4,5.163333333333333,83.31666666666666,16.13255394846174
Kab. Pangandaran,-7.68,108.65,2021,12,30.483870967741936,25.006451612903227,27.12258064516129,489.9,489.9,407.0,10.041935483870969,475.01,3.246451612903226,92.90322580645162,71.48387096774194,5.477419354838709,82.19354838709677,8.861835455869961
Kab. Pangandaran,-7.68,108.65,2022,1,30.68064516129032,24.87741935483871,27.22258064516129,188.7,188.7,386.0,10.04516129032258,539.52,3.6500000000000004,92.6774193548387,70.7741935483871,5.803225806451613,81.7258064516129,2.219407831237349
Kab. Pangandaran,-7.68,108.65,2022,2,30.7,24.982142857142858,27.157142857142855,280.3,280.3,360.0,9.660714285714286,460.37,3.4925,92.67857142857143,70.14285714285714,5.7178571428571425,81.41071428571429,3.1993421999161162
